wse,width,area_total,time_str,node_q,p_dist_out,wse_units,width_units,area_total_units,p_dist_out_units
150.17933,181.932779,35757.2,2024-03-02T12:01:12Z,1,2339730.0,m,m,m^2,m
150.60429,187.364641,36824.8,2024-03-13T23:39:15Z,1,2339730.0,m,m,m^2,m
150.35329,153.065071,30083.5,2024-03-23T08:46:15Z,1,2339730.0,m,m,m^2,m
153.64002,544.735423,107062.7,2024-04-03T20:24:19Z,2,2339730.0,m,m,m^2,m
154.05795,198.185901,38951.6,2024-04-13T05:31:20Z,2,2339730.0,m,m,m^2,m
152.15954,1692.258734,332597.6,2024-04-24T17:09:26Z,1,2339730.0,m,m,m^2,m
151.65965,198.444814,39002.5,2024-05-04T02:16:23Z,1,2339730.0,m,m,m^2,m
150.6555,158.602061,31171.8,2024-05-15T13:54:30Z,1,2339730.0,m,m,m^2,m
150.31562,160.156292,31477.2,2024-05-24T23:01:28Z,2,2339730.0,m,m,m^2,m
150.25608,250.647147,49262.4,2024-06-05T10:39:36Z,1,2339730.0,m,m,m^2,m
